date_time,model_name,scaler,accuracy,recall,precision,f1_score,train_time_seconds,model_version
2026-05-30T22:53:45+03:00,LogisticRegression,standardScaler,0.826,0.3447,0.6734,0.456,2.341,0.2.1
2026-05-30T22:53:53+03:00,LogisticRegression,minmaxScaler,0.826,0.3442,0.6738,0.4556,7.6458,0.2.1
2026-05-30T22:53:56+03:00,LogisticRegression,robustScaler,0.826,0.3447,0.6734,0.4559,3.4396,0.2.1
2026-05-31T20:06:00+03:00,DecisionTree_depth8,standardScaler,0.8629,0.5489,0.7363,0.6289,10.325,0.2.1
2026-05-31T20:06:10+03:00,DecisionTree_depth8,minmaxScaler,0.863,0.5489,0.7363,0.629,10.297,0.2.1
2026-05-31T20:06:20+03:00,DecisionTree_depth8,robustScaler,0.863,0.5489,0.7363,0.629,10.177,0.2.1
2026-05-31T20:10:21+03:00,DecisionTree_depth9,standardScaler,0.8619,0.5603,0.7249,0.6319,11.335,0.2.1
2026-05-31T20:10:33+03:00,DecisionTree_depth9,minmaxScaler,0.8619,0.5604,0.7249,0.6319,11.339,0.2.1
2026-05-31T20:10:44+03:00,DecisionTree_depth9,robustScaler,0.8619,0.5603,0.7249,0.6319,11.294,0.2.1
2026-05-31T20:53:36+03:00,LogisticRegression_C1_L2,standardScaler,0.826,0.3447,0.6734,0.456,2.147,0.2.1
2026-05-31T20:53:44+03:00,LogisticRegression_C1_L2,minmaxScaler,0.826,0.3442,0.6738,0.4556,7.3803,0.2.1
2026-05-31T20:53:47+03:00,LogisticRegression_C1_L2,robustScaler,0.826,0.3447,0.6734,0.4559,3.5477,0.2.1
2026-05-31T21:20:54+03:00,LogisticRegression_C1_L2,standardScaler,0.826,0.3447,0.6734,0.456,20.309,0.3.2
2026-05-31T21:21:11+03:00,LogisticRegression_C1_L2,minmaxScaler,0.8259,0.3438,0.6738,0.4553,17.27,0.3.2
2026-05-31T21:21:30+03:00,LogisticRegression_C1_L2,robustScaler,0.826,0.3447,0.6735,0.456,18.552,0.3.2
2026-05-31T22:00:34+03:00,LogisticRegression_C0.001_ElasticNet(0.8)_balanced,standardScaler,0.7429,0.7334,0.4361,0.5469,23.591,0.3.2
2026-05-31T22:01:00+03:00,LogisticRegression_C0.001_ElasticNet(0.8)_balanced,minmaxScaler,0.7185,0.7271,0.4074,0.5222,25.263,0.3.2
2026-05-31T22:15:32+03:00,LogisticRegression_C0.0005_ElasticNet(0.7)_balanced,standardScaler,0.7442,0.7332,0.4377,0.5482,21.604,0.3.2
2026-05-31T22:15:54+03:00,LogisticRegression_C0.0005_ElasticNet(0.7)_balanced,minmaxScaler,0.6945,0.7178,0.382,0.4986,21.96,0.3.2
2026-05-31T22:16:13+03:00,LogisticRegression_C0.0005_ElasticNet(0.7)_balanced,robustScaler,0.7497,0.7275,0.4441,0.5515,19.578,0.3.2
2026-06-09T14:32:49+03:00,LogisticRegression_C0.0005_ElasticNet(0.7)_balanced,standardScaler,0.7442,0.7332,0.4377,0.5482,22.576,0.3.3
2026-06-09T14:33:13+03:00,LogisticRegression_C0.0005_ElasticNet(0.7)_balanced,minmaxScaler,0.6945,0.7178,0.382,0.4986,24.261,0.3.3
2026-06-09T14:33:35+03:00,LogisticRegression_C0.0005_ElasticNet(0.7)_balanced,robustScaler,0.7497,0.7275,0.4441,0.5515,21.1449,0.3.3
2026-06-09T14:34:04+03:00,DecisionTree_depth9,standardScaler,0.8619,0.5603,0.7249,0.6319,11.352,0.3.3
2026-06-09T14:34:16+03:00,DecisionTree_depth9,minmaxScaler,0.8619,0.5604,0.7249,0.6319,11.328,0.3.3
2026-06-09T14:34:27+03:00,DecisionTree_depth9,robustScaler,0.8619,0.5603,0.7249,0.6319,11.344,0.3.3
2026-06-09T14:39:27+03:00,LightGBM_lr0.01_leaves25_est100,standardScaler,0.8578,0.6368,0.6735,0.6546,13.271,0.3.3
2026-06-09T14:39:41+03:00,LightGBM_lr0.01_leaves25_est100,minmaxScaler,0.8577,0.6383,0.6727,0.655,13.5323,0.3.3
2026-06-09T14:39:53+03:00,LightGBM_lr0.01_leaves25_est100,robustScaler,0.8577,0.6385,0.6726,0.6551,12.176,0.3.3
2026-06-09T15:19:59+03:00,LightGBM_lr0.01_leaves25_est100,standardScaler,0.8578,0.6368,0.6735,0.6546,13.057,0.3.3
2026-06-09T15:20:16+03:00,LightGBM_lr0.01_leaves25_est100,minmaxScaler,0.8577,0.6383,0.6727,0.655,16.044,0.3.3
2026-06-09T15:20:32+03:00,LightGBM_lr0.01_leaves25_est100,robustScaler,0.8577,0.6385,0.6726,0.6551,16.116,0.3.3
2026-06-09T19:25:41+03:00,CatBoost_lr0.1_depth8_iter500,standardScaler,0.8182,0.7812,0.5495,0.6451,447.4003,0.4.1
2026-06-09T19:33:39+03:00,CatBoost_lr0.1_depth8_iter500,minmaxScaler,0.818,0.78,0.5493,0.6447,478.5938,0.4.1
2026-06-09T19:42:53+03:00,CatBoost_lr0.1_depth8_iter500,robustScaler,0.8183,0.7816,0.5497,0.6455,553.8496,0.4.1
2026-06-10T23:05:20+03:00,CatBoost_lr0.03_depth4_iter300,standardScaler,1,1,1,1,143.6385,0.4.1
2026-06-10T23:07:49+03:00,CatBoost_lr0.03_depth4_iter300,minmaxScaler,1,1,1,1,148.7601,0.4.1
2026-06-10T23:10:28+03:00,CatBoost_lr0.03_depth4_iter300,robustScaler,1,1,1,1,158.6658,0.4.1
2026-06-11T00:54:20+03:00,CatBoost_lr0.1_depth8_iter800,standardScaler,0.8208,0.7723,0.5551,0.6459,727.9784,0.4.3
2026-06-11T01:07:08+03:00,CatBoost_lr0.1_depth8_iter800,minmaxScaler,0.8212,0.7716,0.5558,0.6461,768.0536,0.4.3
2026-06-11T01:21:40+03:00,CatBoost_lr0.1_depth8_iter800,robustScaler,0.8208,0.7718,0.555,0.6457,871.8003,0.4.3
2026-06-11T04:01:58+03:00,CatBoost_lr0.08_depth9_iter1000,standardScaler,0.8247,0.7587,0.5637,0.6468,566.0601,0.4.3
2026-06-11T04:11:24+03:00,CatBoost_lr0.08_depth9_iter1000,minmaxScaler,0.8245,0.7581,0.5634,0.6464,566.0675,0.4.3
2026-06-11T10:50:32+03:00,LogisticRegression_C0.0001_ElasticNet(0.65)_balanced,standardScaler,0.7618,0.7266,0.4602,0.5634,25.32,0.4.3
2026-06-11T10:51:00+03:00,LogisticRegression_C0.0001_ElasticNet(0.65)_balanced,minmaxScaler,0.5846,0.7051,0.2971,0.418,28.505,0.4.3
2026-06-11T13:10:41+03:00,LogisticRegression_C0.0001_ElasticNet(0.66)_balanced,StandardScaler(),0.762,0.7268,0.4605,0.5638,10.029,0.5.0
2026-06-11T13:15:17+03:00,LogisticRegression_C0.0001_ElasticNet(0.66)_balanced,StandardScaler(),0.762,0.7268,0.4605,0.5638,9.395,0.5.0
2026-06-11T13:22:47+03:00,DecisionTree_depth8_balanced,StandardScaler(),0.8137,0.7771,0.5417,0.6383,3.662,0.5.0
2026-06-11T14:02:03+03:00,LightGBM_lr0.1_leaves25_estimators100_scale_pos_weight2.5,StandardScaler(),0.8429,0.7297,0.6071,0.6628,3.633,0.5.0
2026-06-11T14:30:00+03:00,LightGBM_lr0.09_leaves25_estimators150_maxdepth5_scale_pos_weight2.0,StandardScaler(),0.8537,0.6904,0.6439,0.6663,4.689,0.5.1
2026-06-11T20:01:46+03:00,CatBoost_lr0.07_depth9_iter300_l2_leaf_reg_options4_scale_pos_weight2.0,StandardScaler(),0.8542,0.6819,0.6477,0.6644,102.785,0.5.1
2026-06-11T20:31:06+03:00,CatBoost_lr0.07_depth8_iter300_l2_leaf_reg_options4_scale_pos_weight2.0,StandardScaler(),0.8535,0.6857,0.6446,0.6645,39.0227,0.5.2
2026-06-11T22:01:55+03:00,CatBoost_lr0.06_depth8_iter400_l2_leaf_reg_options4_scale_pos_weight2.0,StandardScaler(),0.8538,0.685,0.6457,0.6647,53.6044,0.5.2
